country,status,forest_type,region,mgmt_type,mgmt_strategy,species group,age_class,volume,stem_biomass,bark_biomass,branches_biomass,foliage_biomass,foliage/stem ratio,total_agb,bcef
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_2,40.4,23.893941,0.161734991,0.277636653,0.051704414,0%,24.38501706,0.60
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_3,103.5,57.21709302,0.153649503,0.303296755,0.047180433,0%,57.72121971,0.56
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_4,177.4,94.35059975,0.145224334,0.312563575,0.040848764,0%,94.84923642,0.53
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_5,247.9,128.7176825,0.137778759,0.314226314,0.035186157,0%,129.2048737,0.52
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_6,307.8,157.356536,0.131811694,0.312863249,0.030858729,0%,157.8320697,0.51
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_7,355.4,179.8257341,0.12727813,0.310639866,0.027751448,0%,180.2914035,0.51
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_8,391.7,196.8143841,0.123935917,0.308455357,0.02557305,0%,197.2723484,0.50
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_9,418.5,209.2839926,0.121529285,0.306627539,0.024066393,0%,209.7362158,0.50
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_10,437.9,218.2745798,0.119818406,0.305207915,0.023027533,0%,218.7226337,0.50
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_11,451.9,224.7448203,0.118599684,0.304138715,0.022304014,0%,225.1898627,0.50
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_12,461.8,229.3115019,0.117745811,0.303361826,0.021805313,0%,229.7544149,0.50
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_13,468.8,232.5362219,0.117145988,0.302802705,0.02145905,0%,232.9776296,0.50
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_14,473.8,234.8374755,0.116719518,0.302398563,0.0212149,0%,235.2778085,0.50
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_15,477.2,236.4013316,0.116430455,0.302121541,0.021050379,0%,236.840934,0.50
